ἔχω, ἔξω/σχήσω, ἔσχον (impf. εἶχον)	have (verb)
ἄγω, ἄξω, ἤγαγον	lead, bring (verb)
εἰμί, ἔσθμαι (present encl. excep 2 sg imperf. ἦν)	be (verb)
λαμβάνω, λήψομαι, ἔλαβον	take, seize, receive (verb)
ὀνομάζω, ὀνομάσω, ὠνὀμασα	name, call by name, call X and X (2 acc) (verb)
φέρω, οἴσω, ὠωὀμασα	carry, bear, bring (verb)
Ἕλλην, Ἕλληνος, ο	Greek (noun)
ἡγεμών, ἡγεμόνος, ο	leader (noun)
κῆρυξ, κήρυκος, ο	herald (noun)
ὄνομα, ὀνόματος, τὸ	name (noun)
πατρίς, πατρίδος, ἡ	fatherland (noun)
πρᾶγμα, πράγματος, τὸ	thing, matter, act; (pl.) circumstances (noun)
ὕδωρ, ὕδατος, τὸ	water (noun)
φύλαξ, φύλακος, ο	guard (noun)
τότε	then, at that time (adv)
σὖν (+ dat.)	with (prep)
οὖν	so, therefore, in fact (part)
